,date,shcode,etf,gubun,ytDiffO,ytDiffH,ytDiffL,ytDiff,ytClose,ytVolume,ytULPi,tdSDiff,tdOpen,noNEWS,30m(MAX),30m(MAXi),30m(MIN),30m(MINi),30m(CLOSE),value
8158,2024-11-12,222110,0,2,0.0351,0.2955,0.0351,0.2037,7210,1988717,18,0.0097,7280,0,0.0125,0,-0.0902,31,-0.0361,0.0
8157,2024-11-12,219550,0,2,0.0547,0.2093,0.0314,0.1442,984,26459513,-1,-0.0346,950,4,-0.0346,0,-0.1331,6,-0.0864,0.0
8156,2024-11-12,215790,0,2,0.0109,0.1874,0.0109,0.1438,525,1911127,-1,0.0,525,0,0.0267,50,-0.0324,18,-0.0038,0.0
8155,2024-11-12,214370,0,2,-0.0095,0.1228,-0.0338,0.1098,18700,317581,-1,-0.0107,18500,0,-0.008,3,-0.0487,59,-0.0487,0.0
8154,2024-11-12,209640,0,2,0.05,0.1104,-0.0067,0.1104,18210,5528775,-1,-0.0049,18120,1,0.0461,5,-0.0362,54,-0.0231,0.0
8153,2024-11-12,199480,0,2,0.0223,0.2404,0.0016,0.1656,7320,4917461,-1,0.0,7320,0,0.0,0,-0.0464,50,-0.0396,0.0
8152,2024-11-12,137950,0,2,0.0255,0.1353,0.0255,0.1153,5030,1049845,-1,0.0139,5100,0,0.0318,10,-0.002,23,0.0099,-0.003945162244797351
8151,2024-11-12,105330,0,2,-0.0012,0.2994,-0.0178,0.2994,5490,1024078,185,-0.0601,5160,0,0.1038,31,-0.0692,0,-0.0036,0.0
8150,2024-11-12,100790,0,2,0.0309,0.3,0.0191,0.2489,5870,12553708,490,-0.0017,5860,1,0.0,0,-0.075,56,-0.0716,0.0
8149,2024-11-12,087010,0,2,0.0172,0.2275,0.0172,0.1835,110300,2992445,-1,0.0299,113600,14,0.1043,39,0.01,3,0.0798,0.048451305952034174
8148,2024-11-12,082800,0,2,0.0408,0.2233,0.0175,0.2039,6200,4173004,-1,0.0339,6410,0,0.0935,31,-0.0323,3,0.0323,-0.05
8147,2024-11-12,078160,0,2,-0.0053,0.1364,-0.0066,0.1232,8480,535706,-1,0.0,8480,3,0.0,0,-0.0531,48,-0.0483,0.0
8146,2024-11-12,062860,0,2,0.005,0.2914,0.005,0.2384,3740,107573,300,0.0856,4060,0,0.0856,0,0.0856,0,0.0856,0.0
8145,2024-11-12,051490,0,2,0.0,0.2691,0.0,0.1274,5090,5689006,-1,0.002,5100,0,0.0236,33,-0.0295,20,0.0196,0.0
8144,2024-11-12,036090,0,2,0.069,0.1592,0.069,0.1008,830,34432110,-1,0.1108,922,2,0.1313,1,0.0482,38,0.0675,-0.03898091465610376
8143,2024-11-12,035080,0,2,0.1414,0.2225,0.1414,0.1456,13850,1051274,-1,0.0072,13950,3,0.0195,3,0.0014,11,0.0014,0.0
8142,2024-11-12,457480,1,1,0.0801,0.1313,0.0801,0.1255,15600,4981695,-1,0.0865,16950,0,0.1064,33,0.0676,1,0.0971,0.009756097560975618
8141,2024-11-12,272210,0,1,-0.0065,0.1401,-0.0065,0.1315,26250,16866596,-1,0.0248,26900,2,0.0743,39,0.0095,2,0.0381,0.012978142076502719
8140,2024-11-12,100090,0,1,0.0093,0.1356,-0.0008,0.1139,14380,959257,-1,0.0,14380,0,0.0257,5,-0.0202,31,-0.0167,0.0
8139,2024-11-12,017860,0,1,-0.0094,0.2993,-0.0094,0.2993,166700,2926637,450,0.0,166700,2,0.0498,28,-0.039,15,0.0342,0.0
8138,2024-11-12,014990,0,1,0.0,0.1706,-0.0224,0.1594,829,4591100,-1,-0.0084,822,2,0.0338,54,-0.076,1,-0.0109,0.0
8137,2024-11-12,007110,0,1,-0.0152,0.1829,-0.0159,0.1314,1782,70941926,-1,-0.0006,1781,7,0.0887,52,-0.0264,1,0.0662,0.0
8136,2024-11-12,003535,0,1,0.1252,0.2993,0.1252,0.1986,8330,226625,180,0.2005,10000,0,0.2005,0,0.2005,0,0.2005,0.0
8135,2024-11-12,003530,0,1,0.0394,0.2268,0.0394,0.1718,4160,37960130,-1,0.1106,4620,21,0.1238,0,0.0493,40,0.0745,-0.03250495227804795
8134,2024-11-12,002410,0,1,0.0,0.2997,0.0,0.2997,1314,1531151,328,0.1986,1575,1,0.2998,2,0.1986,0,0.2998,0.06
8133,2024-11-12,001470,0,1,0.0837,0.3,0.0735,0.3,1274,120118751,216,0.0204,1300,7,0.2009,27,0.0126,0,0.1672,0.15
8132,2024-11-12,001260,0,1,0.0104,0.1302,0.0015,0.1036,7460,235522,-1,0.0054,7500,1,0.2989,22,0.0013,1,0.2078,0.0
8131,2024-11-11,900340,0,2,0.0,0.209,0.0,0.1423,2055,4408391,-1,-0.0097,2035,4,0.0,2,-0.0268,12,-0.0122,0.0
8130,2024-11-11,475960,0,2,0.0437,0.282,-0.007,0.2036,12120,16824538,-1,0.0503,12730,0,0.1493,59,0.0272,7,0.1477,0.09
8129,2024-11-11,469750,0,2,0.0128,0.231,-0.0242,0.165,1730,25750669,-1,0.0017,1733,0,0.0462,1,-0.0197,58,-0.0179,0.0
8128,2024-11-11,464080,0,2,0.0034,0.1256,-0.0034,0.1102,6450,1113162,-1,0.0124,6530,0,0.0884,35,0.0078,0,0.0543,0.04138680363492697
8127,2024-11-11,458650,0,2,0.0331,0.2996,0.031,0.2996,31450,4628871,483,0.1383,35800,0,0.1653,5,0.062,47,0.0715,-0.05868400245980865
8126,2024-11-11,434480,0,2,0.0422,0.2435,0.0408,0.1333,4165,5757533,-1,-0.0144,4105,6,-0.0048,18,-0.0348,38,-0.0276,0.0
8125,2024-11-11,430690,0,2,0.0084,0.2055,0.0084,0.1111,5300,2608397,-1,0.0,5300,1,0.0132,8,-0.0283,45,-0.0151,0.0
8124,2024-11-11,418550,0,2,0.0395,0.1752,0.0395,0.1312,20600,1732169,-1,0.0194,21000,3,0.034,0,-0.1,12,-0.0874,-0.05
8123,2024-11-11,411080,0,2,0.0301,0.1722,0.0287,0.1205,7810,3339060,-1,-0.0205,7650,9,-0.0166,18,-0.0423,6,-0.0269,0.0
8122,2024-11-11,378800,0,2,0.0217,0.2907,0.0133,0.2159,5040,18437646,639,0.0317,5200,2,0.1171,59,0.0119,2,0.1131,0.07889890472036432
8121,2024-11-11,368770,0,2,-0.0074,0.2213,-0.0074,0.1383,5350,10902245,-1,0.0,5350,3,0.0056,1,-0.0131,31,-0.0056,0.0
8120,2024-11-11,340360,0,2,0.0602,0.2477,0.044,0.1667,2520,8320679,-1,-0.0298,2445,6,0.0179,12,-0.0377,45,-0.0278,0.0
8119,2024-11-11,234920,0,2,0.0121,0.2996,0.0121,0.2996,5900,1666120,51,0.0814,6380,0,0.1339,23,-0.0085,58,0.0085,-0.06741261327908266
8118,2024-11-11,226950,0,2,0.0109,0.163,-0.0016,0.1277,20750,895004,-1,0.0771,22350,5,0.0867,36,0.0024,3,0.0627,-0.013369232197567471
8117,2024-11-11,219550,0,2,0.0095,0.2201,-0.0027,0.1685,860,12864166,-1,0.0512,904,4,0.1512,46,0.0174,1,0.1058,0.09
8116,2024-11-11,217270,0,2,0.0178,0.1327,0.004,0.1248,5680,638419,-1,-0.0194,5570,0,0.0,0,-0.0475,56,-0.044,0.0
8115,2024-11-11,217190,0,2,0.01,0.1706,0.01,0.1706,9330,316283,-1,-0.0107,9230,0,-0.0032,3,-0.0407,28,-0.0075,0.0
8114,2024-11-11,196170,0,2,0.0237,0.1645,0.0132,0.15,437000,2844134,-1,0.0252,448000,6,0.0423,40,0.0092,0,0.0332,0.007803355442840498
8113,2024-11-11,115500,0,2,0.1538,0.2758,0.1045,0.1045,7610,8625054,-1,0.0368,7890,4,0.0473,7,0.0145,22,0.0329,-0.00376157407407407
8112,2024-11-11,101670,0,2,0.0724,0.2555,0.0181,0.2072,3000,33805710,-1,0.05,3150,10,0.085,1,-0.0417,57,-0.035,-0.080952380952381
8111,2024-11-11,100590,0,2,0.0125,0.2663,0.0125,0.154,4160,9754323,-1,0.0084,4195,1,0.0204,1,-0.0204,56,-0.0156,0.0
8110,2024-11-11,091440,0,2,-0.002,0.2814,-0.002,0.2156,6090,1112626,-1,0.0296,6270,2,0.0296,0,-0.0821,15,-0.0673,-0.05
8109,2024-11-11,087010,0,2,0.0118,0.1111,-0.0059,0.1017,93200,1270360,-1,0.0172,94800,14,0.0998,54,0.0086,1,0.0901,0.07166732206055837
